City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bredasdorp,0,ZA,1531688400,81,-34.53,20.04,51.8,8.05
1,tongren,0,CN,1531692693,94,27.72,109.18,72.39,2.26
2,mettur,88,IN,1531692693,70,11.8,77.8,76.62,14.45
3,albany,40,US,1531691640,38,42.65,-73.75,93.2,3.36
4,vaini,92,IN,1531692694,97,15.34,74.49,70.41,10.76
5,mar del plata,0,AR,1531692612,99,-46.43,-67.52,31.71,2.82
6,sobolevo,76,RU,1531692694,92,54.43,31.9,64.92,5.73
7,arraial do cabo,0,BR,1531688400,61,-22.97,-42.02,80.6,5.82
8,yellowknife,40,CA,1531688400,67,62.45,-114.38,57.2,10.29
9,dunedin,80,NZ,1531692554,93,-45.87,170.5,45.93,13.67
10,ushuaia,20,AR,1531688400,69,-54.81,-68.31,35.6,14.99
11,dikson,0,RU,1531692695,100,73.51,80.55,40.26,10.54
12,punta arenas,0,CL,1531688400,100,-53.16,-70.91,32.0,8.05
13,rikitea,100,PF,1531692696,100,-23.12,-134.97,66.54,6.4
14,novyy urengoy,36,RU,1531692696,70,66.08,76.63,61.68,4.72
15,ribeira grande,20,PT,1531692000,72,38.52,-28.7,68.0,6.93
16,puerto ayora,75,EC,1531688400,61,-0.74,-90.35,78.8,18.34
17,acapulco,5,MX,1531687320,62,16.86,-99.88,89.6,9.17
18,kapaa,90,US,1531688160,78,22.08,-159.32,84.2,13.87
19,mataura,56,NZ,1531692698,98,-46.19,168.86,35.94,3.6
20,barrow,68,AR,1531692698,61,-38.31,-60.23,49.35,7.4
21,liverpool,0,GB,1531691400,77,53.41,-2.98,68.0,5.82
22,ilebo,0,CD,1531692699,58,-4.33,20.59,77.97,2.59
23,mount gambier,92,AU,1531692699,93,-37.83,140.78,49.44,7.96
24,nhulunbuy,48,AU,1531692000,88,-12.18,136.78,71.6,3.36
25,hobart,75,AU,1531692000,80,-42.88,147.33,41.0,9.17
26,cape town,0,ZA,1531688400,71,-33.93,18.42,51.8,5.82
27,zhangye,0,CN,1531692700,61,38.94,100.46,60.33,4.72
28,tayzhina,56,RU,1531692700,75,53.67,87.44,64.74,4.61
29,esperance,20,TT,1531688400,74,10.24,-61.45,86.0,13.87
30,qaanaaq,92,GL,1531692701,98,77.48,-69.36,34.41,4.72
31,avarua,88,CK,1531692702,100,-21.21,-159.78,73.83,21.05
32,tilichiki,68,RU,1531692702,89,60.47,166.1,57.63,2.26
33,upernavik,80,GL,1531692702,98,72.79,-56.15,37.47,11.99
34,iqaluit,90,CA,1531688940,93,63.75,-68.52,41.0,17.22
35,south river,90,CA,1531690800,94,47.54,-53.27,68.0,18.34
36,amarpur,92,IN,1531692703,98,23.52,91.65,76.08,5.28
37,xiaoshi,0,CN,1531692704,87,30.59,116.63,71.67,2.04
38,praia da vitoria,20,PT,1531692000,72,38.73,-27.07,68.0,11.32
39,chuy,92,UY,1531692704,82,-33.69,-53.46,53.85,14.34
40,kupino,24,RU,1531692705,74,54.36,77.31,68.25,15.57
41,pascagoula,40,US,1531690500,70,30.37,-88.56,89.6,5.82
42,mahebourg,20,MU,1531688400,88,-20.41,57.7,64.4,3.36
43,east london,24,ZA,1531692705,100,-33.02,27.91,59.07,6.85
44,storforshei,56,NO,1531692706,97,66.4,14.52,49.8,2.04
45,funtua,64,NG,1531692706,86,11.52,7.31,74.37,6.17
46,gambela,64,ET,1531692706,86,8.25,34.59,61.95,2.37
47,verkh-chebula,0,RU,1531692707,61,56.03,87.61,61.41,8.41
48,makat,24,KZ,1531692707,30,47.65,53.35,84.81,8.41
49,mount isa,0,AU,1531692000,42,-20.73,139.49,44.6,3.36
50,yar-sale,8,RU,1531692708,78,66.83,70.83,55.47,2.59
51,taksimo,8,RU,1531692708,89,56.36,114.84,50.43,1.92
52,airai,32,TL,1531692708,86,-8.93,125.41,60.42,1.7
53,cabo san lucas,40,MX,1531687440,49,22.89,-109.91,89.6,11.41
54,gasa,100,BT,1531692709,94,27.91,89.73,36.03,1.36
55,oranjemund,76,ZA,1531692504,77,-28.55,16.43,65.1,17.13
56,ilulissat,75,GL,1531691400,81,69.22,-51.1,42.8,9.17
57,norman wells,75,CA,1531688400,67,65.28,-126.83,62.6,8.05
58,saint-augustin,0,FR,1531692000,78,44.83,-0.61,73.4,10.29
59,tasiilaq,12,GL,1531691400,40,65.61,-37.64,51.8,13.87
60,pratapgarh,0,IN,1531692711,81,25.92,82.0,82.65,9.42
61,longyearbyen,75,NO,1531691400,87,78.22,15.63,44.6,3.36
62,monte siao,0,BR,1531692482,67,-22.43,-46.57,67.44,1.14
63,lavrentiya,92,RU,1531692712,97,65.58,-170.99,42.33,0.13
64,severo-kurilsk,80,RU,1531692712,92,50.68,156.12,50.88,6.29
65,khatanga,12,RU,1531692712,65,71.98,102.47,50.16,13.0
66,honningsvag,40,NO,1531691400,81,70.98,25.97,53.6,2.24
67,araouane,80,ML,1531692713,19,18.9,-3.53,100.2,8.08
68,hithadhoo,92,MV,1531692713,100,-0.6,73.08,76.44,5.73
69,emerald,0,AU,1531692713,75,-23.53,148.16,36.57,2.93
70,usinsk,56,RU,1531692714,50,66.0,57.56,67.71,7.63
71,havre,1,US,1531691580,25,48.55,-109.68,84.2,5.73
72,vao,0,EE,1531692714,89,59.1,26.19,63.93,2.59
73,malinyi,76,TZ,1531692714,53,-8.94,36.14,73.56,4.61
74,beringovskiy,0,RU,1531692715,85,63.05,179.32,56.64,14.0
75,nuuk,75,GL,1531691400,62,64.17,-51.74,55.4,10.29
76,aksarka,0,RU,1531692715,69,66.56,67.8,61.68,8.19
77,saulkrasti,0,LV,1531691400,88,57.26,24.42,66.2,4.7
78,constitucion,75,MX,1531687620,26,23.99,-104.67,80.6,3.36
79,georgetown,20,GY,1531688400,74,6.8,-58.16,84.2,13.87
80,sekoma,76,BW,1531692717,76,-24.51,23.93,55.56,13.78
81,nikolskoye,0,RU,1531690200,72,59.7,30.79,64.4,2.59
82,colac,68,AU,1531692718,75,-38.34,143.59,48.18,9.31
83,amapa,75,HN,1531692000,100,15.09,-87.97,77.0,5.82
84,provideniya,90,RU,1531688400,100,64.42,-173.23,44.6,6.71
85,jiuquan,0,CN,1531692718,65,39.73,98.49,53.67,2.93
86,maragogi,8,BR,1531692719,83,-9.01,-35.22,73.83,7.96
87,bluff,0,AU,1531692719,74,-23.58,149.07,36.21,2.71
88,dudinka,12,RU,1531692719,48,69.41,86.18,60.24,5.61
89,presidencia roque saenz pena,88,AR,1531692720,52,-26.79,-60.44,83.19,5.17
90,jagdalpur,92,IN,1531692720,97,19.09,82.02,70.77,13.0
91,margate,75,AU,1531692000,80,-43.03,147.26,41.0,9.17
92,beroroha,0,MG,1531692720,60,-21.68,45.17,63.66,7.63
93,saldanha,68,PT,1531692721,63,41.42,-6.55,66.9,9.98
94,moose jaw,20,CA,1531688400,29,50.4,-105.54,78.8,20.8
95,carnarvon,0,ZA,1531692721,64,-30.97,22.13,30.81,8.41
96,ejura,24,GH,1531692721,72,7.38,-1.37,79.23,12.66
97,krasnoborsk,44,RU,1531692722,98,61.56,45.93,64.2,2.71
98,busselton,80,AU,1531692722,100,-33.64,115.35,62.4,28.99
99,itaquyry,0,PY,1531688400,51,-24.93,-55.22,84.2,6.93
100,quzhou,32,CN,1531692723,88,28.97,118.86,70.86,2.15
101,port alfred,12,ZA,1531692723,100,-33.59,26.89,55.2,8.41
102,hambantota,20,LK,1531692723,100,6.12,81.12,78.69,16.02
103,cayenne,0,GF,1531690200,74,4.94,-52.33,82.4,8.05
104,gorele,40,TR,1531691400,73,41.03,39.0,71.6,3.36
105,faanui,92,PF,1531692724,100,-16.48,-151.75,77.7,13.89
106,athmallik,92,IN,1531692725,98,20.72,84.53,75.18,9.19
107,cabinda,0,AO,1531692725,99,-5.56,12.19,73.11,11.65
108,santiago del estero,0,AR,1531692725,46,-27.8,-64.26,73.83,11.21
109,new norfolk,75,AU,1531692000,80,-42.78,147.06,41.0,9.17
110,renala khurd,32,PK,1531692726,77,30.88,73.6,85.17,8.97
111,impfondo,92,CD,1531692726,98,1.62,18.06,72.75,2.26
112,namibe,0,AO,1531692726,100,-15.19,12.15,66.9,9.98
113,shingu,0,JP,1531692727,96,33.72,135.99,79.05,6.4
114,grand gaube,20,MU,1531688400,88,-20.01,57.66,64.4,3.36
115,kiunga,92,PG,1531692727,99,-6.12,141.3,71.4,1.92
116,romilly-sur-seine,0,FR,1531692000,63,48.52,3.72,66.2,4.7
117,svetlaya,68,RU,1531692728,90,46.54,138.33,58.98,4.38
118,kaitangata,76,NZ,1531692728,83,-46.28,169.85,48.0,14.45
119,great falls,1,US,1531691580,28,47.5,-111.29,84.2,4.61
120,kuznetsk,44,RU,1531692729,61,53.11,46.6,70.77,4.61
121,touros,20,BR,1531692586,78,-5.2,-35.46,78.96,17.25
122,yenangyaung,92,MM,1531692730,100,20.46,94.87,74.73,10.2
123,paez,75,CO,1531688400,51,2.93,-76.46,86.0,8.05
124,saint george,20,GR,1531691400,73,39.45,22.34,69.8,1.25
125,noumea,75,NC,1531692000,88,-22.28,166.46,66.2,2.24
126,chiang rai,80,TH,1531692731,96,19.9,99.84,70.77,2.59
127,benguela,0,AO,1531692731,100,-12.58,13.4,69.15,7.07
128,saskylakh,32,RU,1531692732,63,71.97,114.09,45.48,9.98
129,jitauna,44,BR,1531692732,80,-14.02,-39.89,69.6,6.62
130,tuktoyaktuk,75,CA,1531688400,52,69.44,-133.03,68.0,11.41
131,ciudad bolivar,8,VE,1531692732,92,8.12,-63.55,82.11,5.61
132,vestmanna,40,FO,1531691400,93,62.16,-7.17,51.8,11.41
133,cairns,20,AU,1531692000,77,-16.92,145.77,68.0,1.12
134,castro,64,CL,1531692687,81,-42.48,-73.76,47.1,3.15
135,qarchi gak,0,AF,1531690200,32,37.04,66.79,95.0,6.93
136,umm kaddadah,8,SD,1531692734,45,13.6,26.69,85.35,11.88
137,atuona,0,PF,1531692734,100,-9.8,-139.03,79.23,19.04
138,general roca,0,AR,1531688400,43,-39.03,-67.58,55.4,4.7
139,naron,75,ES,1531692000,93,43.52,-8.15,64.4,3.36
140,kanigiri,88,IN,1531692735,63,15.41,79.51,83.01,16.58
141,minab,8,IR,1531690200,79,27.15,57.07,89.6,4.7
142,lompoc,1,US,1531690500,42,34.64,-120.46,80.6,11.41
143,san cristobal,75,EC,1531688400,44,-0.39,-78.55,60.8,19.46
144,alyangula,8,AU,1531692639,100,-13.85,136.42,71.85,9.53
145,dusnok,20,HU,1531692737,61,46.39,18.96,69.33,4.94
146,victoria,90,BN,1531692000,94,5.28,115.24,78.8,1.12
147,leshukonskoye,92,RU,1531692738,99,64.9,45.76,65.28,1.59
148,port hedland,0,AU,1531692000,62,-20.31,118.58,53.6,6.93
149,chapais,75,CA,1531688400,39,49.78,-74.86,82.4,12.75
150,isangel,32,VU,1531692739,100,-19.55,169.27,73.2,17.02
151,vieste,12,IT,1531692739,100,41.88,16.18,75.0,5.61
152,pemberton,92,AU,1531692739,87,-34.44,116.03,57.36,20.38
153,karasburg,80,NA,1531692740,25,-28.01,18.75,51.06,9.42
154,tuatapere,56,NZ,1531692740,100,-46.13,167.69,48.0,10.87
155,san francisco,90,US,1531690800,77,37.78,-122.42,84.2,9.17
156,henties bay,56,NA,1531692742,100,-22.12,14.28,56.91,2.93
157,lafayette,40,US,1531690440,70,30.22,-92.02,91.4,4.7
158,jamestown,68,AU,1531692743,94,-33.21,138.6,44.76,13.56
159,torbay,90,CA,1531690800,94,47.66,-52.73,68.0,18.34
160,fairbanks,90,US,1531690440,55,64.84,-147.72,64.4,13.87
161,astoria,1,US,1531691700,47,46.19,-123.83,78.8,13.87
162,pevek,88,RU,1531692744,100,69.7,170.27,35.31,8.41
163,vondrozo,0,MG,1531692744,92,-22.82,47.32,54.48,2.71
164,hualmay,0,PE,1531692745,68,-11.1,-77.61,68.43,5.61
